Level 1: Core responsibility or department-wide result/consideration,Level 2: Department / program result or key risk,"Level 3: Plan, indicator, or actual result",Program,Program Evidence
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Shellfish Data Unit,Shellfish Data Unit implements digital processes with Pacific Licencing toward compliance with conditions of licence for harvest logs.
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Salmon Data Unit,"The Fishery Operations Systems (FOS) database holds fishery openings with the catch and effort data for the Pacific region. FOS supports region-wide transparent data in support of both protection of stocks, as well as fishing opportunities."
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Data Stewardship Unit,"Data Stewardship Unit builds and maintains the Fishery Operations Systems (FOS) Data Explorer to help the FOS Data Custodian share data internally for requests and streamline FOI responses, reducing manual SQL work and supporting evidence-based decisions affecting coastal and Indigenous fishing communities."
Core responsibility: Fisheries,"Helping coastal, rural and Indigenous fishing communities grow their economies","Initiate a comprehensive review of licensing policies and processes, modernize fisheries management, and advance digital tools to ease regulatory pressures, promote innovation, and enhance productivity.",Spatial Data Unit,"The Spatial Data Unit supports the Shellfish and Salmon Data Unit by leveraging archived survey data to develop interactive dashboards that enhance data accessibility, support evidence-based decision-making, and contribute to the modernization of fisheries management processes."
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Salmon Data Unit,The Salmon Data Unit support development of the STREAM platform that contains regional information of salmon stock references points and statuses.
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Data Stewardship Unit,"Data Stewardship Unit designs and maintains salmon data standards, pipelines and repositories (for example the Salmon Population Summary Repository) that modernize how fisheries data are captured, integrated and accessed to inform management decisions."
Core responsibility: Fisheries,Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"Invest in digital modernization, including IT upgrades, online licensing forms, and use of artificial intelligence to digitize fishing data and reduce administrative burden.",Spatial Data Unit,"The Spatial Data Unit supports the Salmon Data Unit through spatial data management, analysis, and the development of mapping and visualization products that support the STREAM platform."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Shellfish Data Unit,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Salmon Data Unit,"The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Enhance service delivery and data management through modernized IT systems that track vessel use, improve effort and landings data, and digitize paper-based fishing records.",Knowledge Mobilization Unit,FADS is improving interoperability between fishing data and monitoring data by updating
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Groundfish Data Unit,GFDU supports the existing digital infrastructure that is essential for managing Pacific groundfish fisheries by providing subject matter expertise related to groundfish fishery data.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Shellfish Data Unit,"The Shellfish Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Shellfish Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Salmon Data Unit,"The Salmon Data Unit provides regional review of the Canadian Fisheries Information System which uses new technology to modernize catch and effort data at DFO. In addition, the Salmon Data Unit program works closely with service providers who support both industry and Indigenous Sale Fisheries."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,Accelerate delivery of the Canadian Fisheries Information System and implement electronic logbooks (ELOGs) for lobster fisheries to enable real-time reporting and analytics.,Data Stewardship Unit,"Data Stewardship Unit develops common data models, QA/QC routines and guidance that CFIS and electronic logbook systems can reuse so salmon-related records are structured for analysis, reporting and interoperability."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Co-design ELOG implementation with harvesters to incorporate flexibility, address concerns, and support broader adoption that improves reporting and decision-making.",Shellfish Data Unit,"Shellfish Data Unit communicates with current Pacfic Region service providers, as allowed, to understand challenges and opportunities for adoption of ELOGs."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"Co-design ELOG implementation with harvesters to incorporate flexibility, address concerns, and support broader adoption that improves reporting and decision-making.",Salmon Data Unit,The Salmon Data Unit supports the development of local elogs for salmon data with service providers. These systems can be leveraged as CFIS moves into the Pacific region.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Groundfish Data Unit,GFDU staff frequently participate in groundfish research surveys which collect data on numerous species including both data-poor species and commercial species.  GFDU staff participate as subject matter experts in relevant CSAS processes. Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Shellfish Data Unit,Shellfish Data Unit provides technician time to participate in dive and intertidal surveys which collect data for data-poor invertebrate species.
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Salmon Data Unit,"The STREAM platform contains a central repository for internal staff linking the statuses of salmon conservation units with the status according to the Fish Stock Provisions. More broadly Salmon Space, an external facing application also compiles all known statuses for stock management units according to the most recent assessment."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Data Stewardship Unit,"Data Stewardship Unit provides essential data standardization and infrastructure required for the Fish Stocks Provisions by developing and maintaining unified salmon escapement data standards, integrating the full suite of data required for Fisheries Science Reports (CSAS-aligned), and delivering the Salmon Population Summary Repository (SPSR) web application to ensure consistent storage, accessibility, and stewardship of stock‐status information across programs."
Core responsibility: Fisheries,Fisheries management is modernized and efficient,"DFO will continue to support sustainable and prosperous fisheries managed according to the precautionary approach, based on input from partners and grounded in science. Continue implementing the Fish Stocks Provisions of the Fisheries Act and expand the list of stocks managed under precautionary, science-based frameworks.",Spatial Data Unit,"The Spatial Data Unit supports the Salmon Data Unit through spatial data management, analysis, and the development of mapping and visualization products that support the STREAM platform and Salmon Space. This includes maintaining authoritative Conservation, Stock Management, and Designatable Unit boundary datasets and overseeing updates through a coordinated process with the Salmon Data Unit."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.",Groundfish Data Unit,"GFDU stewards an Oracle database that houses Pacific Region groundfish research survey data and commercial biological data, for which GFDU manages and facilitates access, performs QA/QC  and loads new data, and continually improves existing data content and metadata.   GFDU stewards several SQL server databases that house historical (1954-2006) groundfish commercial fishery catch and effort data, as well as a SQL server database that provides best estimates of modern (2007-present) groundfish commercial fishery catch and effort based on the Fishery Operations System (FOS) database.  GFDU manages and facilitates access to historical and modern commercial catch databases, and continually improves existing data content and metadata."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.",Shellfish Data Unit,"Shellfish Data Unit stewards several SQL server databases that house Pacific Region Invertebrate Research data, manages and facilitates access to these data, performs QA/QC  and loads new data, and continually improves existing data content and metadata."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.",Salmon Data Unit,The Salmon Data Unit provides a single source of truth for the salmon conservation units underlying the stock statuses required for the fish stock provisions
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.",Data Stewardship Unit,"Data Stewardship Unit curates and integrates salmon ecosystem monitoring datasets, aligning them with common vocabularies so research and management can draw on comparable data across programs and regions."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Conduct research to address emerging questions and deliver quality science to support effective decisions on fisheries, oceans and aquatic ecosystems.",Spatial Data Unit,"The Spatial Data Unit supports the Aquatic Ecosystems core responsibility by managing, analyzing, and delivering geospatial data and mapping products that make scientific information on fisheries resources accessible. By providing accurate and up-to-date spatial datasets, the Unit enables researchers and managers to address emerging questions and make informed decisions to support sustainable fisheries, oceans, and aquatic ecosystems."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",Groundfish Data Unit,GFDU adapts existing data systems to incorporate new types of data to support ongoing research.  GFDU works toward improving metadata and standardizing stewarded data to increase interoperability.
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",Shellfish Data Unit,Shellfish Data Unit works toward improving metadata and standardizing stewarded data to increase interoperability.
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",Salmon Data Unit,"The Salmon Data Unit stewards two regional databases FOS and NuSEDS that contain salmon catch, effort, spawner and status data to inform management decisions."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",Data Stewardship Unit,"Data Stewardship Unit coordinates salmon data standards and repositories that help quantify climate and ecosystem impacts on salmon, making these datasets easier to combine with oceanographic and habitat information."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Prioritize science and research on the impacts of climate change on fisheries, ecosystems, and coastal infrastructure to inform adaptation planning.",Spatial Data Unit,"The Spatial Data Unit supports the Aquatic Ecosystems core responsibility by providing geospatial data, mapping, and analysis to inform research on climate change impacts to fisheries, ecosystems, and coastal infrastructure. In addition, the Unit collaborates with the FADS section to publish datasets to the Open Government Data portal, making critical spatial information readily accessible to both decision-makers and the public."
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.",Groundfish Data Unit,"GFDU supports Indigenous capacity building by facilitating access to fisheries research and aggregated commercial fishery data.  In addition, GFDU works with the Groundfish Management Unit to support integrating catch monitoring data from Indigenous fisheries into existing data systems."
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.",Shellfish Data Unit,Shellfish Data Unit supports Indigenous capacity building by facilitating access to fisheries research and aggregated harvest log data and by developing agreements to share restricted Northern Abalone data.
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.",Salmon Data Unit,The Salmon Data Unit works with Nations and their choosen service providers to help build capacity to upload salmon data for community-based fisheries into the Fisheries Operations System. We also are developing data guidelines with others input to share for emerging community-based fisheries.
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.",Data Stewardship Unit,"Data Stewardship Unit supports implementation of UNDRIP by integrating CARE Principles for Indigenous Data Governance into salmon data standards and workflows, promoting collective benefit, authority to control, responsibility, and ethics."
Core responsibility: Aquatic Ecosystems,"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Advance implementation of the United Nations Declaration on the Rights of Indigenous Peoples Act Action Plan by building Indigenous capacity, supporting Indigenous-led governance and marine conservation, and aligning agreements with self-determination principles.",Spatial Data Unit,"The Spatial Data Unit works closely with the Reconciliation and Indigenous Engagement team to support the FieldNotes interactive web mapping application at both regional and national scales. The Unit provides support throughout the entire process—from data collection and cleaning to analysis and publication—ensuring accurate and accessible spatial information. This work helps Indigenous communities participate in fisheries and aquatic resource management, supports collaborative governance, and advances conservation and shared management objectives under the UN Declaration on the Rights of Indigenous Peoples."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada'soceans and other aquatic ecosystems is available to inform management decisions,Support the United Nations Decade of Ocean Science by advancing solution-oriented ocean science projects with Canadian and international partners.,Groundfish Data Unit,"GFDU and FADS support the UN Decade (and  other international frameworks and agreements such as Kunming-Montreal Global Biodiversity Framework (GBF), and BBNJ Agreement) by participating in the Ocean Biodiversity Information System (OBIS), which provides interoperable data to support decisions and monitor progress on an international scale.  GFDU publishes data to OBIS, while FADS promotes OBIS and provides in-kind support through furnishing the OBIS Canada node manager."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada'soceans and other aquatic ecosystems is available to inform management decisions,Support the United Nations Decade of Ocean Science by advancing solution-oriented ocean science projects with Canadian and international partners.,Data Stewardship Unit,"Data Stewardship Unit aligns salmon data standards and repositories with broader ocean observing and open-science initiatives such as the Canadian Integrated Ocean Observing System, and the Ocean Biodiversity Information System so salmon datasets can be used directly in UN Decade of Ocean Science solution-oriented projects."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,Develop and publish open science reports on the state of the ocean to share marine science findings with decision makers and Canadians.,Groundfish Data Unit,GFDU provides direct access to Groundfish survey and fishery data through the Fishery Data Service.  In addition GFDU supports DFO publications by providing direct access for DFO researchers to Groundfish data holdings.  GFDU maintains several ongoing groundfish survey datasets on Open Data and OBIS is working toward publication of others.
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,Develop and publish open science reports on the state of the ocean to share marine science findings with decision makers and Canadians.,Shellfish Data Unit,Shellfish Data Unit maintains several ongoing invertebrate survey datasets on Open Data and OBIS and is working toward publication of others.
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,Develop and publish open science reports on the state of the ocean to share marine science findings with decision makers and Canadians.,Salmon Data Unit,"The Salmon Data Unit publishes salmon spawner, conservation, and fishery catch and effort data to Open Data"
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,Develop and publish open science reports on the state of the ocean to share marine science findings with decision makers and Canadians.,Data Stewardship Unit,"Data Stewardship Unit packages salmon datasets with rich metadata, standard vocabularies so they can be transparently referenced in state-of-ocean and status reports, improving reproducibility of evidence."
Core responsibility: Aquatic Ecosystems,Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,Develop and publish open science reports on the state of the ocean to share marine science findings with decision makers and Canadians.,Spatial Data Unit,"The Spatial Data Unit supports the Aquatic Ecosystems core responsibility by working with the Salmon Stock Assessment team to collect Outlook information such as status, forecasts, and other relevant data used in reports and presentations. The Unit provides end-to-end support, including developing data collection methods, cleaning and managing datasets, creating maps, and producing visualizations. In keeping with Open Science objectives, this work ensures that accurate and accessible information on Canada’s oceans and aquatic ecosystems is available to inform management decisions."
Department-wide consideration: Artificial Intelligence,AI-enabled fisheries and stock assessment,Use AI and advanced analytics to improve fish stock assessments and support sustainable quota and harvest decisions.,Salmon Data Unit,The Salmon Data Unit maintains two  databases that allow  comparisons across the region of salmon spawner and catch & effort data
Department-wide consideration: Artificial Intelligence,AI-enabled fisheries and stock assessment,Use AI and advanced analytics to improve fish stock assessments and support sustainable quota and harvest decisions.,Data Stewardship Unit,"Data Stewardship Unit builds ontology-aware, analysis-ready salmon data packages that enable AI and machine-learning tools to discover, access and safely combine stock assessment inputs."
Department-wide consideration: Artificial Intelligence,AI-enabled internal efficiency,"Apply AI tools to administrative processes such as translation, data analysis and records management to reduce operating costs.",Shellfish Data Unit,"Shellfish Data Unit uses AI, when appropriate, to facilitate activites such as document summary or code generation."
Department-wide consideration: Artificial Intelligence,AI-enabled internal efficiency,"Apply AI tools to administrative processes such as translation, data analysis and records management to reduce operating costs.",Salmon Data Unit,The Salmon Data Unit is actively improving the salmon escapement data upload and public transparency using the STREAM platform bulk upload tool and the public facing Salmon Space application.
Department-wide consideration: Artificial Intelligence,AI-enabled internal efficiency,"Apply AI tools to administrative processes such as translation, data analysis and records management to reduce operating costs.",Knowledge Mobilization Unit,"Many of the data processes flow through FADS, which works with the hundreds of data owners for whom these efficiencies are needed."
Department-wide consideration: Artificial Intelligence,AI-enabled internal efficiency,"Apply AI tools to administrative processes such as translation, data analysis and records management to reduce operating costs.",Data Stewardship Unit,"Data Stewardship Unit pilots AI-assisted workflows for data cleaning, documentation and code generation, creating reusable patterns that reduce manual effort for salmon data management and reporting."
Department-wide consideration: Artificial Intelligence,AI-enabled operational planning and decision support,"Use AI to streamline data analysis and operational planning, helping the Department apply legislation more effectively.",Salmon Data Unit,The STREAM platform contains a regionally available and updatable platform to share stock assessment information including published reference points and life history information on salmon.
Department-wide consideration: Artificial Intelligence,AI-enabled operational planning and decision support,"Use AI to streamline data analysis and operational planning, helping the Department apply legislation more effectively.",Data Stewardship Unit,"Data Stewardship Unit develops data models, reference datasets and APIs so planning and decision-support tools can pull consistent, up-to-date salmon indicators for scenario analysis and operational planning."
Department-wide consideration: Artificial Intelligence,Data and AI readiness,"Enhance data quality, availability and governance to ensure datasets are fit for AI applications while respecting privacy and Indigenous data sovereignty.",Groundfish Data Unit,"GFDU same as Shellfish Data Unit .  Both units are working towards machine-readable, interoperable data."
Department-wide consideration: Artificial Intelligence,Data and AI readiness,"Enhance data quality, availability and governance to ensure datasets are fit for AI applications while respecting privacy and Indigenous data sovereignty.",Shellfish Data Unit,"Shellfish Data Unit stewards several SQL server databases that house Pacific Region Invertebrate Research data, manages and facilitates access to these data, performs QA/QC and loads new data, and continually improves existing data content and metadata."
Department-wide consideration: Artificial Intelligence,Data and AI readiness,"Enhance data quality, availability and governance to ensure datasets are fit for AI applications while respecting privacy and Indigenous data sovereignty.",Salmon Data Unit,Regional salmon fishery and spawner data is stewarded by the Salmon Data Unit to ensure data quality and availability both internally and externally.
Department-wide consideration: Artificial Intelligence,Data and AI readiness,"Enhance data quality, availability and governance to ensure datasets are fit for AI applications while respecting privacy and Indigenous data sovereignty.",Knowledge Mobilization Unit,"FADS work is critical  to make existing data AI ready. this will include supporting digitization workflows, improving te availability, documentation and metadata for existing sources, and creating workflows that will ensure data can be accessed efficiently and safely to support AI workflows."
Department-wide consideration: Artificial Intelligence,Data and AI readiness,"Enhance data quality, availability and governance to ensure datasets are fit for AI applications while respecting privacy and Indigenous data sovereignty.",Data Stewardship Unit,"Data Stewardship Unit leads salmon data governance, standards, metadata and quality-control frameworks that make salmon datasets findable, accessible, interoperable and reusable for both humans and AI applications while respecting CARE data principles for Indigenous data sovereignty."
Department-wide consideration: Key risks,Information and data management risk,"Manage information to ensure timely, secure and high-quality data for decision-making through stronger data governance and leadership engagement.",Groundfish Data Unit,"GFDU same as Shellfish Data Unit .  Both units maintain data security protocols, including managing access to databases.  GFDU is working with CDOS to ensure that GF server management meets CDOS security requirements."
Department-wide consideration: Key risks,Information and data management risk,"Manage information to ensure timely, secure and high-quality data for decision-making through stronger data governance and leadership engagement.",Shellfish Data Unit,"Shellfish Data Unit stewards several SQL server databases that house Pacific Region Invertebrate Research data, manages and facilitates access to these data, performs QA/QC and loads new data, and continually improves existing data content and metadata."
Department-wide consideration: Key risks,Information and data management risk,"Manage information to ensure timely, secure and high-quality data for decision-making through stronger data governance and leadership engagement.",Data Stewardship Unit,"Data Stewardship Unit mitigates information and data-management risk for salmon programs by defining stewardship roles, lifecycle processes and documentation practices, and by consolidating key datasets into managed repositories."
Department-wide consideration: Key risks,Cybersecurity risk,"Address emerging cybersecurity threats to protect departmental systems, data and service delivery.",Salmon Data Unit,"The Salmon Data Unit is working with CDOS to migrate the server hosting the escapement database and application so it is more secure. In addition, we are working with CDOS to insure that all new applications follow current security protocols to protect against security threats."
Department-wide consideration: Key risks,Cybersecurity risk,"Address emerging cybersecurity threats to protect departmental systems, data and service delivery.",Data Stewardship Unit,"Data Stewardship Unit works with IT and program partners to transition critical salmon datasets and workflows from vulnerable local storage into managed, access-controlled platforms, reducing cybersecurity exposure."
