Level 2: Department / program result or key risk,DU summary
"Helping coastal, rural and Indigenous fishing communities grow their economies","Shellfish Data Unit digitizes harvest log processes with Pacific Licensing to ensure licence compliance.
Fishery Operations Systems (FOS) centralizes fishery openings and catch-effort data, supporting transparency and sustainable stock management.
Data Stewardship Unit's FOS Data Explorer streamlines internal data sharing and FOI responses, reducing manual work and enabling evidence-based decisions for coastal and Indigenous communities.
Spatial Data Unit develops interactive dashboards from archived survey data to improve accessibility and modernize fisheries management."
Canadian fisheries are sustainably managed; scientific information on fisheries resources is available to inform management decisions,"STREAM Platform: Supports development of a centralized system for salmon stock reference points and status information.
Data Stewardship Unit develops Data Standards & Pipelines: Designs and maintains salmon data standards, pipelines, and repositories (e.g., Salmon Population Summary Repository) to modernize data capture, integration, and access for management decisions.
Spatial Data Support: Provides spatial data management, analysis, and visualization products to enhance STREAM functionality.
Modernization Goal: Advances evidence-based decision-making and fisheries management through integrated digital tools and accessible data."
Fisheries management is modernized and efficient,"Shellfish Data Unit reviews the Canadian Fisheries Information System (CFIS) and collaborates with service providers supporting industry and Indigenous Sale Fisheries.
Salmon Data Unit conducts regional CFIS reviews and works closely with service providers to support both industry and Indigenous Sale Fisheries.
FADS (Fishery & Assessment Data Section) enhances interoperability between fishing and monitoring data through system updates.
Modernization Focus: All units leverage new technology to improve data integration, compliance, and operational efficiency."
Fisheries management is modernized and efficient,"Groundfish Data Unit (GFDU) supports Pacific groundfish fisheries by maintaining critical digital infrastructure and providing subject matter expertise on groundfish data.
Shellfish Data Unit reviews the Canadian Fisheries Information System (CFIS) and collaborates with service providers to support industry and Indigenous Sale Fisheries.
Salmon Data Unit conducts CFIS reviews and works closely with service providers to modernize catch and effort data for industry and Indigenous Sale Fisheries.
Data Stewardship Unit Data Standards Development: Creates common data models, QA/QC routines, and guidance for CFIS and electronic logbook systems to ensure salmon-related records are structured for analysis, reporting, and interoperability."
Fisheries management is modernized and efficient,"Shellfish Data Unit engages with Pacific Region service providers to identify challenges and opportunities for adopting electronic logbooks (ELOGs).
Salmon Data Unit collaborates with service providers to develop local ELOG systems for salmon fisheries.
Integration Opportunity: These local ELOG systems can be leveraged as CFIS expands into the Pacific region.
Goal: Advance digital adoption to improve compliance, efficiency, and data modernization."
Fisheries management is modernized and efficient,"Groundfish Data Unit (GFDU) participates in groundfish research surveys and CSAS processes, providing expertise on commercial and data-poor species.
Shellfish Data Unit contributes technician time to dive and intertidal surveys for data-poor invertebrate species.
Salmon Data Unit delivers STREAM and Salmon Space platforms, centralizing salmon conservation unit statuses and Fish Stock Provisions compliance.
Data Stewardship & Spatial Units standardize salmon data, maintain SPSR, and provide mapping and visualization tools to support evidence-based fisheries management."
Scientific information on Canada's oceans and aquatic ecosystems is available to inform management decisions,"Groundfish Data Unit (GFDU) manages Oracle and SQL Server databases for Pacific groundfish research and commercial fishery data, performing QA/QC, loading new data, and improving metadata.
Shellfish Data Unit stewards SQL Server databases for Pacific invertebrate research data, ensuring accessibility, QA/QC, and continuous improvements.
Salmon & Data Stewardship Units provide a single source of truth for salmon conservation units, standardize escapement data, and integrate ecosystem monitoring datasets for consistent reporting and compliance with Fish Stock Provisions.
Spatial Data Unit delivers accurate geospatial datasets and mapping products to support sustainable fisheries, oceans, and aquatic ecosystems through informed decision-making."
Scientific information on Canada's  oceans and aquatic ecosystems is available to inform management decisions,"Groundfish Data Unit (GFDU) adapts existing systems to incorporate new data types, improves metadata, and standardizes data for greater interoperability.
Shellfish Data Unit works toward metadata improvements and data standardization to enhance interoperability across systems.
Salmon & Data Stewardship Units manage FOS and NuSEDS databases for salmon catch, effort, spawner, and status data, while coordinating standards and repositories to integrate climate and ecosystem datasets with oceanographic and habitat information.
Spatial Data Unit provides geospatial data, mapping, and analysis to study climate change impacts on fisheries and ecosystems, and publishes datasets to the Open Government Data portal for public and decision-maker access."
"Enhanced relationships with, involvement of, and outcomes for Indigenous Peoples","Groundfish Data Unit (GFDU) supports Indigenous capacity building by providing access to fisheries research and aggregated commercial data, and works with the Groundfish Management Unit to integrate Indigenous catch monitoring data into existing systems.
Shellfish Data Unit facilitates Indigenous access to fisheries research and harvest log data and develops agreements for sharing restricted Northern Abalone data.
Salmon & Data Stewardship Units collaborate with Nations and service providers to build capacity for uploading community-based salmon data into FOS, develop data-sharing guidelines, and integrate CARE Principles for Indigenous Data Governance into workflows.
Spatial Data Unit partners with Indigenous Engagement teams to support the FieldNotes mapping application, ensuring accurate spatial data for collaborative governance, conservation, and shared management under UNDRIP."
Scientific information on Canada'soceans and other aquatic ecosystems is available to inform management decisions,"GFDU & FADS support global frameworks (UN Decade, GBF, BBNJ) by participating in the Ocean Biodiversity Information System (OBIS), enabling interoperable data for international decision-making and progress monitoring. 
•  GFDU publishes fisheries data to OBIS, while FADS promotes OBIS and provides in-kind support through the OBIS Canada node manager. 
•  Data Stewardship Unit aligns salmon data standards and repositories with ocean observing and open-science initiatives (e.g., CIOOS, OBIS) to integrate salmon datasets into UN Decade solution-oriented projects. 
•  Impact: These efforts advance Canada’s role in global biodiversity monitoring and open-science collaboration.
"
Scientific information on Canada's oceans and other aquatic ecosystems is available to inform management decisions,"Groundfish Data Unit (GFDU) provides direct access to groundfish survey and fishery data via the Fishery Data Service, supports DFO publications, and maintains datasets on Open Data and OBIS.
Shellfish Data Unit publishes invertebrate survey datasets to Open Data and OBIS, with additional datasets in progress.
Salmon & Data Stewardship Units publish salmon spawner, conservation, and catch-effort data to Open Data, packaging datasets with rich metadata and standard vocabularies to improve transparency and reproducibility in reports.
Spatial Data Unit collaborates with Salmon Stock Assessment to collect and manage Outlook data, create maps and visualizations, and publish datasets to support Open Science and informed management decisions."
AI-enabled fisheries and stock assessment,"Salmon Data Unit maintains two regional databases (FOS and NuSEDS) that enable comparisons of salmon spawner and catch-effort data across the Pacific region.
Data Stewardship Unit builds ontology-aware, analysis-ready salmon data packages to support advanced analytics and interoperability.
These packages enable AI and machine-learning tools to discover, access, and safely combine stock assessment inputs for improved decision-making.
Goal: Modernize salmon data management to support predictive science and evidence-based fisheries governance."
AI-enabled internal efficiency,"Shellfish Data Unit leverages AI tools, where appropriate, for tasks like document summarization and code generation.
Salmon Data Unit enhances transparency and efficiency by improving salmon escapement data uploads through the STREAM bulk upload tool and the public-facing Salmon Space application.
FADS coordinates data processes across hundreds of data owners, ensuring streamlined workflows and operational efficiencies.
Data Stewardship Unit pilots AI-assisted workflows for data cleaning, documentation, and code generation, creating reusable patterns that reduce manual effort in salmon data management and reporting."
AI-enabled operational planning and decision support,"STREAM Platform provides a regionally accessible, updatable system for sharing salmon stock assessment information, including published reference points and life history data.
Data Stewardship Unit develops robust data models, reference datasets, and APIs to ensure consistent, up-to-date salmon indicators for planning and decision-support tools.
These tools enable scenario analysis and operational planning by integrating standardized salmon data into broader management frameworks.
Goal: Improve transparency, interoperability, and evidence-based decision-making for salmon fisheries management."
Data and AI readiness,"GFDU and Shellfish Data Unit Alignment: Both units share the goal of making data machine-readable and interoperable to support modern workflows and AI applications.
Shellfish Data Unit: Stewards multiple SQL Server databases for Pacific Region Invertebrate Research, manages and facilitates data access, performs QA/QC, loads new data, and continuously improves data content and metadata.
Salmon Data Unit (GFDU): Ensures quality and availability of regional salmon fishery and spawner data internally and externally, leading governance, standards, metadata, and quality-control frameworks to make datasets FAIR (Findable, Accessible, Interoperable, Reusable) while respecting CARE principles for Indigenous data sovereignty.
FADS Role: Critical for making existing data AI-ready by supporting digitization workflows, improving availability, documentation, and metadata, and creating secure, efficient workflows for data access to enable AI-driven processes."
Information and data management risk,"GFDU and Shellfish Data Unit Alignment: Both units share responsibilities for data stewardship and maintain strict security protocols, including managing database access.
GFDU Security Focus: Collaborates with CDOS to ensure GF server management meets all CDOS security requirements.
Shellfish Data Unit Role: Stewards multiple SQL Server databases for Pacific Region Invertebrate Research, manages and facilitates data access, performs QA/QC, loads new data, and continuously improves data content and metadata.
Data Stewardship Unit Role: Reduces data-management risk for salmon programs by defining stewardship roles, lifecycle processes, and documentation practices, while consolidating key datasets into managed repositories."
Cybersecurity risk,"Server Migration for Security: Salmon Data Unit is working with CDOS to migrate the escapement database and application to a more secure server.
Application Security Compliance: Collaborates with CDOS to ensure all new applications meet current security protocols to protect against threats.
Transition to Managed Platforms: Data Stewardship Unit partners with IT and program teams to move critical salmon datasets and workflows from vulnerable local storage to managed, access-controlled platforms.
Cybersecurity Risk Reduction: These efforts collectively strengthen security and reduce exposure for salmon data and applications."